sample,station,date_sample,depth_m,species_name,size_class_cm,abundance,project
FI00001,SD1,6/27/1991,60,Argentina sialis,7,1,PLOO
FI00001,SD1,6/27/1991,60,Chilara taylori,13,1,PLOO
FI00001,SD1,6/27/1991,60,Chitonotus pugetensis,10,1,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,4,2,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,5,6,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,6,2,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,7,4,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,8,3,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,9,6,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,10,5,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,11,5,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,12,1,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys sordidus,13,1,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,3,2,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,4,1,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,5,10,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,6,9,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,7,11,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,8,4,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,9,8,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,10,4,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,11,9,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,12,10,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,13,12,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,14,7,PLOO
FI00001,SD1,6/27/1991,60,Citharichthys xanthostigma,16,1,PLOO
FI00001,SD1,6/27/1991,60,Hippoglossina stomata,22,1,PLOO
FI00001,SD1,6/27/1991,60,Icelinus quadriseriatus,5,1,PLOO
FI00001,SD1,6/27/1991,60,Icelinus quadriseriatus,6,5,PLOO
FI00001,SD1,6/27/1991,60,Icelinus quadriseriatus,7,2,PLOO
FI00001,SD1,6/27/1991,60,Lepidogobius lepidus,6,2,PLOO
FI00001,SD1,6/27/1991,60,Microstomus pacificus,6,3,PLOO
FI00001,SD1,6/27/1991,60,Microstomus pacificus,7,9,PLOO
FI00001,SD1,6/27/1991,60,Microstomus pacificus,8,3,PLOO
FI00001,SD1,6/27/1991,60,Odontopyxis trispinosa,8,1,PLOO
FI00001,SD1,6/27/1991,60,Parophrys vetulus,19,1,PLOO
FI00001,SD1,6/27/1991,60,Parophrys vetulus,21,1,PLOO
FI00001,SD1,6/27/1991,60,Pleuronichthys verticalis,14,1,PLOO
FI00001,SD1,6/27/1991,60,Porichthys notatus,7,2,PLOO
FI00001,SD1,6/27/1991,60,Porichthys notatus,8,3,PLOO
FI00001,SD1,6/27/1991,60,Porichthys notatus,9,4,PLOO
FI00001,SD1,6/27/1991,60,Porichthys notatus,10,2,PLOO
FI00001,SD1,6/27/1991,60,Sebastes saxicola,4,19,PLOO
FI00001,SD1,6/27/1991,60,Sebastes saxicola,5,8,PLOO
FI00001,SD1,6/27/1991,60,Sebastes saxicola,9,1,PLOO
FI00001,SD1,6/27/1991,60,Symphurus atricaudus,13,1,PLOO
FI00001,SD1,6/27/1991,60,Symphurus atricaudus,14,5,PLOO
FI00001,SD1,6/27/1991,60,Symphurus atricaudus,15,2,PLOO
FI00001,SD1,6/27/1991,60,Symphurus atricaudus,16,2,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,4,1,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,5,7,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,6,1,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,8,5,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,9,2,PLOO
FI00001,SD1,6/27/1991,60,Zalembius rosaceus,11,1,PLOO
FI00001,SD1,6/27/1991,60,Zaniolepis latipinnis,11,7,PLOO
FI00001,SD1,6/27/1991,60,Zaniolepis latipinnis,12,5,PLOO
FI00001,SD1,6/27/1991,60,Zaniolepis latipinnis,13,1,PLOO
FI00001,SD1,6/27/1991,60,Zaniolepis latipinnis,15,1,PLOO
FI00002,SD5,6/27/1991,70,Argentina sialis,4,2,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,3,1,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,4,4,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,5,4,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,6,2,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,7,2,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,8,3,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,9,2,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,10,1,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys sordidus,11,4,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,6,1,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,7,3,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,11,2,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,12,4,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,13,8,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,14,7,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,15,3,PLOO
FI00002,SD5,6/27/1991,70,Citharichthys xanthostigma,17,1,PLOO
FI00002,SD5,6/27/1991,70,Icelinus quadriseriatus,5,1,PLOO
FI00002,SD5,6/27/1991,70,Icelinus quadriseriatus,6,5,PLOO
FI00002,SD5,6/27/1991,70,Icelinus quadriseriatus,7,4,PLOO
FI00002,SD5,6/27/1991,70,Kathetostoma averruncus,18,1,PLOO
FI00002,SD5,6/27/1991,70,Lepidogobius lepidus,4,6,PLOO
FI00002,SD5,6/27/1991,70,Lepidogobius lepidus,5,7,PLOO
FI00002,SD5,6/27/1991,70,Lepidogobius lepidus,6,3,PLOO
FI00002,SD5,6/27/1991,70,Lepidogobius lepidus,7,1,PLOO
FI00002,SD5,6/27/1991,70,Microstomus pacificus,7,1,PLOO
FI00002,SD5,6/27/1991,70,Microstomus pacificus,13,1,PLOO
FI00002,SD5,6/27/1991,70,Pleuronichthys verticalis,15,1,PLOO
FI00002,SD5,6/27/1991,70,Pleuronichthys verticalis,22,1,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,6,2,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,7,8,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,8,5,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,9,2,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,10,1,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,11,2,PLOO
FI00002,SD5,6/27/1991,70,Porichthys notatus,13,1,PLOO
FI00002,SD5,6/27/1991,70,Sebastes saxicola,3,2,PLOO
FI00002,SD5,6/27/1991,70,Sebastes saxicola,4,2,PLOO
FI00002,SD5,6/27/1991,70,Sebastes saxicola,9,1,PLOO
FI00002,SD5,6/27/1991,70,Symphurus atricaudus,13,3,PLOO
FI00002,SD5,6/27/1991,70,Symphurus atricaudus,14,3,PLOO
FI00002,SD5,6/27/1991,70,Symphurus atricaudus,15,2,PLOO
FI00002,SD5,6/27/1991,70,Symphurus atricaudus,19,1,PLOO
FI00002,SD5,6/27/1991,70,Zalembius rosaceus,5,2,PLOO
FI00002,SD5,6/27/1991,70,Zalembius rosaceus,6,1,PLOO
FI00002,SD5,6/27/1991,70,Zalembius rosaceus,9,1,PLOO
FI00002,SD5,6/27/1991,70,Zaniolepis latipinnis,12,1,PLOO
